Item,Sub Item,"Unit Name e.g. litre, gram","Unit qty i.e. 1.5, 1, etc",Grams,Cal.,Protein,Fat,Carbs,Fiber,"eat type , in = 1, out = 0",extra units qty,Meal applied to,Exclusive to
,"LAMB,LEG,SIRLOIN HALF,LN,RAW",oz,1,28.4,38,5.8,1.4,0,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
Processed Meat,TURKEY BREAST MEAT,slice,1,21,22,3.6,0.3,0.9,0.1,GROCERY,"0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",3,
,CHICKEN BREAST OVEN-ROAST,slice,1,21,17,3.5,0.1,0.5,0,GROCERY,"0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",,
Nuts & Seeds,"ALMOND BUTTER,PLAIN,WO/SALT",cup,1,250,1583,37.7,147.8,53.1,9.3,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",3,
,ALMONDS,cup,1,95,546,20.2,46.9,20.6,11.3,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"BRAZILNUTS,DRIED,UNBLANCHED",cup,1,133.3,874,19.1,88.6,16.4,10,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"CASHEW NUTS,RAW",oz,1,28.4,157,5.2,12.5,8.6,0.9,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,HAZELNUTS OR FILBERTS,cup,1,115,722,17.2,69.9,19.2,11.2,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,PECANS,cup,1,109.5,757,10,78.8,15.2,10.5,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"PEANUTS,ALL TYPES,RAW",cup,0.125,18.3,103,4.7,9,2.9,1.6,GROCERY,"0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"WALNUTS,ENGLISH",cup,1,117.1,766,17.8,76.4,16.1,7.8,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
Pasta & Rice,"MACARONI,WHOLE-WHEAT,DRY",cup,1,105,365,15.4,1.5,78.8,8.7,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"MACARONI,DRY,ENR",cup,1,105,390,13.7,1.6,78.4,3.4,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"PASTA, WHOLE WHEAT",cup,0.75,54,197,7.6,1,39.4,5.1,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"PASTA,CORN,DRY",cup,1,105,375,7.8,2.2,83.2,11.6,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"RICE,BROWN,MEDIUM-GRAIN,RAW",cup,0.25,47.5,172,3.6,1.3,36.2,1.6,GROCERY,"0.125,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4","2,4,5",
,"RICE,WHITE,LONG-GRAIN,DRY",cup,1,186,696,15.1,1.9,149.6,4.1,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"SPAGHETTI,DRY,ENRICHED",oz,1,28.5,106,3.7,0.4,21.3,1,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"NOODLES,EGG,DRY,ENRICHED",cup,1,38,146,5.4,1.7,27.1,1.3,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
"Salad Dressing, Oil & Fats","OIL,OLIVE",tbsp,1,14,124,0,14,0,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4","2,4,5",
,"SALAD DRSNG,ITALIAN RED FAT",tbsp,1,15,11,0.1,1,0.7,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"SALAD DRSNG, MIRACLE WHIP",tbsp,1,16,13,0,0.4,2.5,0.3,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",3,
Soups & Sauces,"SAUCE,SALSA",tbsp,5,80,22,1.2,0.1,5,1.3,GROCERY,"0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10",,
,"SOUP,BEEF NOODLE",cup,1,251,168,9.7,6.2,18,1.5,GROCERY,"0.125,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
Beverages,Sports Drink (i.e. Gatorade),cup,0.25,61,16.5,0,0.05,4.125,0,GROCERY,"0.125,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",7,
,Protein Powder,scoop,1,30,120,23,2,3,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",7,
,WATER,cup,1,237,0,0,0,0,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",1,
Sandwiches with Meat,BLT Sandwich with Spread,ea,1,,344,11.64,17.4,35.03,2.5,RESTAURANT,"0.5,1.5,2,2.5,3",,
,Bologna Sandwich with Spread,ea,1,,252,8.09,12.08,27.29,1.2,RESTAURANT,"0.5,1.5,2,2.5,3",,
,Chicken Sandwich,ea,1,,252,20.9,6.54,26.23,1.2,RESTAURANT,"0.5,1.5,2,2.5,3",,
,Ham and Cheese Sandwich,ea,1,,352,20.69,15.48,33.35,,RESTAURANT,"0.5,1.5,2,2.5,3",,
,Roast Beef Sandwich,ea,1,,341,26.85,13.49,26.02,1.2,RESTAURANT,"0.5,1.5,2,2.5,3",,
,Turkey Sandwich,ea,1,,308,28.11,8.94,26.7,1.2,RESTAURANT,"0.5,1.5,2,2.5,3",,
